,date,symbol,close
833799,2016-11-10,AMZN,742.380005
834299,2016-11-11,AMZN,739.01001
834799,2016-11-14,AMZN,719.070007
835299,2016-11-15,AMZN,743.23999
835799,2016-11-16,AMZN,746.48999
836299,2016-11-17,AMZN,756.400024
836799,2016-11-18,AMZN,760.159973
837299,2016-11-21,AMZN,780.0
837799,2016-11-22,AMZN,785.330017
838299,2016-11-23,AMZN,780.119995
838799,2016-11-25,AMZN,780.369995
839299,2016-11-28,AMZN,766.77002
839799,2016-11-29,AMZN,762.52002
840299,2016-11-30,AMZN,750.570007
840799,2016-12-01,AMZN,743.650024
841299,2016-12-02,AMZN,740.340027
841799,2016-12-05,AMZN,759.359985
842299,2016-12-06,AMZN,764.719971
842799,2016-12-07,AMZN,770.419983
843299,2016-12-08,AMZN,767.330017
843799,2016-12-09,AMZN,768.659973
844299,2016-12-12,AMZN,760.119995
844799,2016-12-13,AMZN,774.340027
845299,2016-12-14,AMZN,768.820007
845799,2016-12-15,AMZN,761.0
846299,2016-12-16,AMZN,757.77002
846799,2016-12-19,AMZN,766.0
847299,2016-12-20,AMZN,771.219971
847799,2016-12-21,AMZN,770.599976
848299,2016-12-22,AMZN,766.340027
848799,2016-12-23,AMZN,760.590027
849299,2016-12-27,AMZN,771.400024
849799,2016-12-28,AMZN,772.130005
850299,2016-12-29,AMZN,765.150024
850799,2016-12-30,AMZN,749.869995
801576,2016-08-10,MSFT,58.02
802076,2016-08-11,MSFT,58.299999
802576,2016-08-12,MSFT,57.939999
803076,2016-08-15,MSFT,58.119999
803576,2016-08-16,MSFT,57.439999
804076,2016-08-17,MSFT,57.560001
804576,2016-08-18,MSFT,57.599998
805076,2016-08-19,MSFT,57.619999
805576,2016-08-22,MSFT,57.669998
806076,2016-08-23,MSFT,57.889999
806576,2016-08-24,MSFT,57.950001
807076,2016-08-25,MSFT,58.169998
807576,2016-08-26,MSFT,58.029999
808076,2016-08-29,MSFT,58.099998
808576,2016-08-30,MSFT,57.889999
809076,2016-08-31,MSFT,57.459999
809576,2016-09-01,MSFT,57.59
810076,2016-09-02,MSFT,57.669998
810576,2016-09-06,MSFT,57.610001
811076,2016-09-07,MSFT,57.66
811576,2016-09-08,MSFT,57.43
812076,2016-09-09,MSFT,56.209999
812576,2016-09-12,MSFT,57.049999
813076,2016-09-13,MSFT,56.529999
813576,2016-09-14,MSFT,56.259998
814076,2016-09-15,MSFT,57.189999
814576,2016-09-16,MSFT,57.25
815076,2016-09-19,MSFT,56.93
815576,2016-09-20,MSFT,56.810001
816076,2016-09-21,MSFT,57.759998
816576,2016-09-22,MSFT,57.82
817076,2016-09-23,MSFT,57.43
817576,2016-09-26,MSFT,56.900002
818076,2016-09-27,MSFT,57.950001
818576,2016-09-28,MSFT,58.029999
819076,2016-09-29,MSFT,57.400002
819576,2016-09-30,MSFT,57.599998
820076,2016-10-03,MSFT,57.419998
